Italian,English
anello,ring
prenda,take
idee,ideas
piede,feet
ferita,wound
ferito,wound
cerchi,rim
preoccupato,worried
verra,it will come
sentimenti,feelings
arresto,arrest
project,project
averla,have it
dà,from
soldato,soldier
natura,nature
cominciato,started
inutile,useless
casi,cases
prendiamo,we take
colore,color
basso,low
uso,use
don,Don
anzi,rather
storie,stories
digli,say to Him
daniel,Daniel
preferito,favorite
dirle,give them
utile,useful
cattiva,bad
cani,dog
sparare,shoot
parigi,Paris
diventa,becomes
chiamano,they call
ascoltare,to listen
kevin,Kevin
decidere,to decide
professore,professor
fidanzato,fiancé
sensazione,sensation
andartene,go
legale,legal
carte,cards
compito,task
srt,SRT
stronza,bitch
contenta,content
provi,try
los,los
corte,court
tengo,I keep
pesce,fish
pensano,they think
johnny,Johnny
obiettivo,objective
incontrare,encounter
nato,born
visti,visas
show,show
conta,count
accesso,access
breve,brief
risolvere,solve
isola,island
povero,poor man
stavolta,this time
mark,Mark
affrontare,face
poliziotti,policemen
opera,Opera
anna,Anna
buoni,good
ballare,dance
bacio,kiss
resti,remains
funzionato,worked
bordo,edge
sbaglio,I err
giochi,games
verde,green
saremmo,we would be
aperta,open
improvviso,sudden
continui,continuous
fianco,flank
alzati,get up
accettare,to accept
metà,half
continuo,continuous
peso,weight
piaciuto,liked
stile,style
corsa,race
entrata,ticket
soluzione,solution
maria,Maria
fanculo,fuck you
contratto,contract
arrabbiata,angry
fermare,to stop
retro,back
meraviglioso,wonderful
guidare,Drive
denti,teeth
mandare,send
fidati,trust me
sveglia,Wake Up
tiene,hold
ultimamente,lately
creato,created
prendermi,take me
kate,Kate
dipende,depends
innocente,innocent
scopo,scope
coltello,knife
chris,Chris
fila,line
magia,magic
effetto,effect
procuratore,prosecutor
ricordare,to remember
smesso,stopped
dna,DNA
vendere,to sell
pantaloni,trousers
miss,Miss
centrale,central
azione,action
principe,prince
cadavere,dead body
chiusa,closed
fede,faith
nipote,grandson
andro,I will go
soldati,soldiers
conti,accounts
finisce,ends
stavano,they were
riuscita,successful
troveremo,we will find
stampa,press
of,of
assistente,assistant
ognuno,each one
robert,Robert
debole,weak
risultati,results
ridicolo,ridiculous
sii,Yay
vaffanculo,fuck
andarci,go there
adam,Adam
dirtelo,tell you
grandioso,great
americano,American
gesù,Jesus
francese,French
chiederti,ask for
faresti,would you do
taxi,Taxi
sottotitoli,subtitles
creare,create
peggiore,worse
bevuto,drunk
rimasta,left
angolo,corner
latte,milk
buio,dark
siate,be
malattia,illness
gatto,cat
suona,it sounds
troviamo,we find
brian,Brian
estate,summer
scomparsa,disappearance
fargli,make him
risposto,replied
condizioni,conditions
muoviti,move
charles,Charles
angeles,Angeles
fiume,river
schiena,back
sindaco,mayor
nonostante,despite
reso,made
campagna,countryside
andrai,you will go
tenuto,hold
paga,pay
seguire,follow
cerchiamo,we seek
scott,Scott
coglione,asshole
rachel,Rachel
bobby,Bobby
dettagli,details
chiaramente,clearly
rispondi,reply
capace,to be able
distrutto,destroyed
forze,Strength
importanza,importance
debba,owes
importanti,important
particolare,particular
stanco,tired out
piani,plans
mantenere,to keep
piaceva,liked
richiesta,request
parecchio,quite a lot of
dando,giving
principale,principal
rose,rose
insegnato,taught
faccenda,affair
vento,wind
immaginare,to imagine
dimenticare,forget
matto,crazy
convinto,convinced
rovinato,ruined
campione,sample
buonasera,good evening
braccia,arm
laggiu,laggiu
decisamente,decidedly
washington,Washington
usando,using
provando,trying
momenti,moments
sbagliata,wrong
andrò,I will go
pensarci,think about it
mercato,market
valore,value
sbrigati,hurry up
salire,go out
drink,drink
riuscire,to be able to
spiegare,to explain
principessa,princess
provo,I try
avro,avorus
attenta,careful
zitta,shut up
eddie,Eddie
andy,Andy
bellezza,beauty
prendete,take
tanta,so much
morendo,dying
rilassati,take it easy
buco,hole
conversazione,conversation
dover,have to
speravo,I hoped
attesa,wait
pensiero,thought
rimane,remains
benvenuti,welcome
conoscenza,knowledge
ponte,bridge
malato,ill
claire,Claire
sedia,chair
vedremo,we will see
omicidi,murders
walter,Walter
finale,the final
impronte,fingerprints
sistemare,tidy up
pensiamo,we think
emma,Emma
succedere,happen
avrò,I will have
emily,Emily
ghiaccio,ice
tracce,traces
bottiglia,bottle
accettato,accepted
indagine,investigation
pensava,he thought
passata,pass
super,super
eppure,but yet
fottuto,fuck
propria,proper
tiro,shot
cadere,fall
ll,ll
diversa,different
sguardo,gaze
perdita,lost
milione,million
camminare,walk
eccoci,here we are
dan,Dan
pratica,practice
americani,Americans
primi,first
villaggio,village
scuse,apologies
fantasma,ghost
trovarlo,find it
potevi,you could
preferisco,I rather
scusatemi,sorry
ispettore,inspector
teoria,theory
chiamami,Call me
dovere,duty
camion,truck
parco,park
palazzo,building
privato,private
dovreste,you should
troia,slut
chiede,asks
volessi,I wanted
purtroppo,unfortunately
eccola,here she is
preoccupata,worried
area,area
aspettavo,I was waiting for
prenderti,pick you up
accusa,accusation
crederci,believe it
martin,Martin
stelle,stars
direttamente,directly
ie,ie
aiuta,it helps
esserlo,be
voler,want
cento,one hundred
fidanzata,fiancée
andarmene,leave
seriamente,seriously
pista,track
terza,third
desiderio,wish
preoccupi,worry
mentendo,mind
ubriaco,drunk
angelo,angel
tradurre,to translate
luci,lights
popolo,people
case,houses
grace,grace
dita,fingers
vince,wins
infermiera,nurse
altezza,height
seduta,sitting
minaccia,threat
età,age
controlla,check it out
nazionale,national
genio,genius
caduto,fallen
corri,run
cinema,cinema
t,t
passati,past
tetto,roof
alcuna,no
stella,star
josh,josh
media,average
politica,politics
voci,voices
suono,sound
to,to
copertura,coverage
conosciamo,we know
vissuto,lived
piaci,like us
internet,Internet
eric,Eric
lettere,letters
occupato,busy
sposata,married
cancro,cancer
numeri,numbers
diamo,let's give
credimi,believe me
compagno,company
merito,merit
società,society
quand',when when
nient',nothing'
spada,spade
vedermi,see me
scendere,descend
pazienti,patient
kim,kim
dirgli,tell him
leggi,laws
cambia,change
facevo,I did
pete,pete
sentita,feeling
diventata,become
perfettamente,perfectly
ragazzina,little girl
bicchiere,glass
autobus,bus
dargli,give him
vuoto,empty
porte,doors
animale,animal
jason,Jason
azienda,agency
sabato,Saturday
pollo,chicken
spiaggia,beach
ordinato,ordered
rotta,route
dovesse,should
telefonata,phone call
thomas,Thomas
completo,full
lasciamo,we leave
entri,enter
liceo,Lyceum
rosa,rose
mezza,half
innamorato,fell in love
doccia,shower
guardato,watched
matt,matt
stanca,tired
arrestato,arrested
esce,goes out
date,at your place
venduto,sold
gara,competition
comincia,it starts
orologio,clock
eravate,was
fan,fan
erba,grass
viso,face
bevi,drink
metta,put
fece,did
ascoltate,listen
distanza,distance
alice,alice
maledetto,cursed
chiamarmi,call me
magnifico,magnificent
universo,universe
esame,examination
quartiere,Neighborhood
uccidermi,kill myself
andarsene,Leave
sposa,wife
partito,match
lascialo,leave him
strade,roads
cappello,hat
pagina,page
mostra,show
giardino,garden
intendevo,I meant
testimoni,witnesses
nera,Black
taglio,cut
velocemente,quickly
potente,powerful
killer,killer
potrà,can
muore,dies
segni,signs
paradiso,paradise
rabbia,anger
fuga,leak
biglietti,tickets
s',s'
toccare,touch
termine,term
collega,colleague
vittoria,victory
assurdo,absurd
mr,mr
giornale,newspaper
dimmelo,tell me
insegnante,teacher
annie,Annie
talento,talent
o',or'
spaventato,scared
naturale,natural
vicina,neighbor
coinvolto,involved
immagini,Images
figo,sounds cool
grossa,large
umana,Human
amiche,friends
girare,spin
seria,serious
corrente,current
libertà,freedom
rubare,steal
venendo,coming
doppio,double
immagine,image
certe,certain
conoscerti,to meet you
tantissimo,"very, very much"
allarme,alarm
ultime,last
militare,military
padrone,master
prenderlo,take it
arrivano,they arrive
azioni,actions
tipi,types
sveglio,I wake
mr.,mr.
amor,love
potremo,we can
preparato,prepared
direzione,direction
gratis,free
dito,finger
vendetta,vendetta
cantare,to sing
distruggere,to destroy
lasciata,left
funzionare,work
invitato,guest
chuck,chuck
regola,rule
servizi,services
luke,luke
zero,zero
ruolo,role
cavalli,horses
c,c
mattino,morning
pazzi,crazy people
funerale,funeral
dallo,from
ospiti,guests
ministro,minister
venti,winds
ottenuto,obtained
intende,intends
simon,Simon
abbiate,have
domenica,Sunday
tette,tits
sig.,Mr.
vorrà,will want
ted,ted
spia,indicator light
manda,almond
rimani,stay
partner,partner
dritto,straight ahead
presenza,presence
eta,age
abby,Abby
succedera,it will happen
son,they are
offerto,offered
atto,act
apprezzo,I appreciate
discutere,discuss
mentire,lie
gestire,handle
chilometri,kilometres
migliaia,thousands
sugli,on
lasciarmi,leave me
volevano,they wanted
street,street
guardati,look at yourself
domattina,Doma morning
lasciatemi,leave me
pensavi,thought
vacanza,vacation
nemici,enemies
medicina,medicine
speriamo,let's hope so
sali,salts
tira,pit
scappato,escaped
pur,even though
informazione,information
lucy,lucy
sposare,to marry
andarcene,leave
est,East
accaduto,incident
violenza,violence
articolo,item
crescere,to grow up
suonare,play
forti,strong
caduta,fall
calmo,calm
presi,taken
parlarle,talk to them
cugino,cousin
fossimo,be
messaggi,messages
famiglie,families
povera,poor
danni,damage
sentivo,felt
sospetto,suspected
guardie,guards
gira,ride
trappola,trap
dirai,you will say
starai,you will be
attenti,careful
diventando,becoming
criminale,criminal
lady,lady
giacca,jacket
unita,unit
rossa,red
dormito,slept
scomparso,disappeared
modi,ways
entrate,revenue
sarete,you will be
commesso,shop assistant
pugno,Punch
opinione,opinion
chiamava,he called
cresciuto,grown up
mal,bad
interesse,interest
laura,Laura
mettiamo,we put
bell',beautiful
sig,Mr
francia,France
ossa,bone
roma,Rome
carico,load
fastidio,nuisance
lisa,lisa
premio,prize
fermato,stopped
sopravvivere,to survive
studenti,students
battuta,joke
dappertutto,everywhere
dave,dave
tè,you
hank,Hank
profondo,deep
arrivi,Arrivals
cella,cell
finora,until now
membro,member
lupo,wolf
gas,gas
macchine,cars
risposte,answers
lotta,struggle
presento,present
piccole,small
mostri,monsters
moto,motorcycle
percento,percent
jeff,Jeff
vorra,will want
carl,Carl
colpi,shots
amicizia,friendship
diritti,rights
pulito,clean
protezione,protection
disturbo,I disturb
avranno,they will have
assieme,together
dicevo,I said
diretto,direct
pane,bread
pesante,heavy
city,City
park,park
aeroporto,airport
gloria,glory
scusarmi,excuse me
creduto,believed
risponde,respond
terapia,therapy
santa,holy
dirci,tell us
disastro,disaster
uova,egg
tirato,pulled
tenga,keep
sedere,sit
veri,real
preparare,prepare
versione,version
costruire,to build
rete,net
sean,Sean
potra,can
guardo,I look
puzza,bad smell
ricco,rich
ali,wings
sposati,married
gola,throat
fumo,smoke
crisi,crisis
dirmelo,tell me
raggiungere,reach
nervoso,nervous
minimo,minimum
persa,lost
traccia,trace
inghilterra,England
albergo,inn
tornate,come back
incendio,fire
falso,FALSE
dirglielo,tell him
ucciderlo,killing it
polvere,dust
chicago,Chicago
gioia,joy
fucile,rifle
maniera,way
william,William
sessuale,sexual
orecchie,ears
privata,private
tentativo,attempt
weekend,weekend
totale,total
poche,few
sicuri,safe
sentirmi,feel
aspettiamo,let's wait
svegliati,wake up
parlano,they talk
scherzi,jokes
trucco,trick
lord,lord
trovate,found
t',t '
dovevamo,we had to
nascondere,hide
aiutarci,help us
succederà,it will happen
rendere,give
urla,yell out
larry,Larry
calda,warm
aspettato,expected
dovessi,I had to
ambulanza,ambulance
superiore,superior
m,m
dean,dean
volare,fly
mancato,failure
perdono,pardon
errori,errors
proprietario,owner
piaccia,piaccia
raccontato,told
ospite,guest
dovro,I will have to
dovrò,I will have to
dillo,say that
poteri,powers
credito,credit
recente,recent
dovrà,will have to
pizza,Pizza
fatemi,make me
amato,beloved
kyle,kyle
telecamere,cameras
quarto,fourth
bravi,good
avessero,had
movimento,movement
regno,kingdom
volevamo,we wanted
stomaco,stomach
membri,members
licenziato,fired
preferirei,I'd rather
tirare,Pull
chiedevo,I asked
analisi,analyses
muoversi,move
merita,deserves
volesse,wanted
promessa,promise
capita,happen
farvi,make you
credete,do you believe
sissignore,sissignor
dannato,damned
phil,phil
baby,baby
bei,nice
assicuro,insurance
abbandonato,abandoned
facilmente,easily
scale,stairs
attorno,around
darò,I'll give
smetterla,stop
corpi,bodies
sospettato,suspected
mettendo,putting
puo',can he'
cinese,Chinese
verranno,they will come
imbarazzante,embarrassing
fonte,source
mancano,there are no
perdendo,losing
studiare,to study
divano,sofa
amante,lover
risultato,result
accuse,accusations
jerry,Jerry
societa,society
neppure,not even
bloccato,blocked
avessimo,we had
tornati,back
scrivania,writing desk
complicato,complicated
louis,Louis
pavimento,flooring
tolto,taken out
mila,thousands
famoso,famous
desideri,desires
lily,Lily
traffico,traffic
avrete,you will have
eccoti,here you are
contare,to count
cia,Central Intelligence Agency
prestito,loan
potreste,you could
solamente,only
chissà,maybe
sorriso,smile
sentiamo,we feel
lavorava,worked
ferite,wounds
proiettile,bullet
motore,motor
specialmente,especially
posta,mail
darle,give them
lontana,distant
file,file
ingresso,entrance
riuscivo,I could
respira,Breathe
mettiti,put yourself
fido,trusted
nate,nate
roger,Roger
lasciati,left
piatto,plate
folle,crazy
proposta,proposal
rapporti,relationships
tuttavia,however
cazzate,bullshits
affascinante,fascinating
virus,virus
liberta,freedom
simili,similar
jenny,Jenny
carter,crankcase
prenderla,pick her up
bugie,lies
clark,Clark
prese,cottage
sterline,pound
trovarmi,find me
frattempo,in the meantime
leo,leo
banda,band
esplosione,explosion
alan,Alan
calcio,soccer
ricerche,research
lago,the needle
barry,Barry
ascolto,I listen
teatro,theater
riusciamo,we succeed
ladro,thief
spaventata,frightened
compagni,companions
facciamolo,let's do it
tentato,attempted
sorpreso,surprised
pioggia,rain
debito,debt
occhiali,eyeglasses
conoscete,you know
taglia,cut
gary,Gary
resynch,resynch
pietra,Stone
uccello,bird
sito,site
maiale,pig
dubito,I doubt
parcheggio,parking area
serviva,needed
camicia,shirt
comportamento,behavior
comodo,comfortable
montagna,mountain
respirare,to breathe
uccisi,killed
bianchi,whites
seguendo,following
costruito,built
formaggio,cheese
kelly,Kelly
sparo,scraper
assunto,hired
uscite,exit
sapessi,I knew
facevi,you did
diretta,direct
averne,have
spazzatura,garbage
divorzio,divorce
innamorata,in love
tagliato,cut
maggie,Maggie
possano,can
fatte,making
tazza,mug
agenzia,agency
volto,face
morgan,Morgan
intervento,intervention
creda,believe
mucchio,pile
permettere,allow
salto,jump
team,team
rimasti,remained
puntate,episodes
pensieri,thoughts
taylor,taylor
soccorso,rescue
respiro,I breathe
giuria,jury
modello,template
panico,panic
darci,give us
giornali,newspapers
ombra,shadow
piscina,pool
marina,navy
ricordate,remember
portate,courses
tavola,table
mezz',half
trovarla,find it
carica,charge
salta,jump
pensione,pension
copia,copy
pilota,pilot
sorveglianza,surveillance
dichiarazione,declaration
costretto,forced
smetti,Stop
neri,black
limite,limit
portarlo,bring it up
bugia,lie
mettermi,put me
elizabeth,Elizabeth
centinaia,hundreds
affitto,rent
appartiene,belongs
idioti,idiots
evento,event
bugiardo,you liar
governatore,governor
riusciti,successful
venne,came
sé,self
daro,I'll give
dono,gift
amanda,amanda
moda,fashion
petto,chest
custodia,custody
dovra,due
farne,make them
impressione,impression
strega,witch
jackson,Jackson
coso,thing
malata,patient
dimostrare,show
terreno,ground
tradito,betrayed
neve,snow
veniva,came
impegnato,engaged
portando,bringing
interessi,interest
vorrai,you will want
speciali,special
odia,he hates
molly,Molly
portarti,take you
ragioni,reasons
gelato,ice cream
perfino,even
spara,shoot
lentamente,slowly
metterti,put you
vergogna,shame
adorabile,adorable
iniziamo,let's begin
chloe,chloe
castello,castle
medici,doctors
pazienza,patience
organizzato,organized
sonno,sleep
trovati,found
colleghi,Colleagues
toccato,touched
malapena,barefoot
nota,Note
tornando,return
conoscerla,know her
maschio,male
ascoltando,listening
mostrato,shown
karen,Karen
festeggiare,celebrate
indovinare,to guess
liberi,free
attaccato,attached
togliere,remove
risolto,Resolved
sporco,dirty
pari,even
passate,pass
sentirti,feel
voti,votes
passando,passing
complimenti,compliments
nathan,Nathan
miracolo,miracle
epoca,era
vicenda,affair
divertimento,fun
meriti,merits
volere,want
troppe,too many
anticipo,advance
lezioni,lessons
giocando,playing
rapina,robbery
cercavo,I was looking for
parlava,he spoke
nazione,nation
band,band
argomento,subject
sbagli,mistake
artista,artist
california,California
pillole,pills
facessi,I did
firmato,signed
alba,Sunrise
telecamera,camera
auguri,congratulations
stupidi,stupid
fase,phase
abito,suit
suicidio,suicide
uguale,equal
julia,Julia
preoccupa,worry
meravigliosa,marvelous
ginocchio,knee
galera,jail
ride,laughs
alberi,trees
veloci,fast
familiare,familiar
interessato,interested
feste,parties
troppi,too many
positivo,positive
muovetevi,move
andiamocene,let's leave
diamine,heck
sparire,to disappear
invito,Invitation
onesto,honest
fuggire,run away
portami,bring me
punta,tip
victor,Victor
tenerlo,keep him
università,university
fortunata,lucky
usciamo,let's go out
stara,stara
patrick,Patrick
provarci,try
bosco,woods
patto,pact
sale,salt
ovest,west
bestia,beast
presenta,present
socio,partner
susan,Susan
personalmente,personally
magazzino,warehouse
b,b
commissione,commission
coloro,those
sullo,on the
coach,coach
bastardi,bastards
vantaggio,advantage
spese,expenses
mezzanotte,midnight
contanti,cash
morale,moral
avvocati,lawyers
caspita,woh
tim,Tim
fallito,failed
indossare,wear
occupo,occupy
esperto,expert
pensaci,think about it
onda,wave
rendi,make them
preciso,accurate
andrebbe,it would go
saltato,jump
fondi,funds
firmare,to sign
totalmente,totally
incubo,nightmare
babbo,dad
fattoria,farm
presenti,present
senatore,senator
conosciuti,known
tasca,pocket
secolo,century
cima,top
avendo,having
corridoio,corridor
bersaglio,target
parlarmi,speak to me
vedono,they see
sorelle,sisters
chili,kilos
superare,exceed
esistono,exist
eccellente,excellent
originale,original
muoverti,move
stammi,stamme
sopportare,to bear
sparito,disappeared
probabile,likely
lasciala,let her
credono,believe
jones,jones
km,km
n,n
greg,Greg
riposo,rest
indovina,guess what
diverte,amuse
esterno,external
stan,all
muovere,move
smith,Smith
concerto,concert
yo,Yo
buttato,thrown
clinica,clinic
champagne,Champagne
maestà,majesty
episodi,episodes
sir,Sir
troverai,you will find
tecnologia,technology
scappa,escape
firma,signature
americana,American
oliver,Oliver
calmi,calm
riposare,rest
furto,theft
vendita,sale
togliti,take off
dormi,sleep
criminali,criminals
carcere,prison
voto,vote
rock,rock
tyler,Tyler
arthur,Arthur
tomba,tomb
legame,bond
mostrare,to exhibit
mancanza,lack
single,single
materiale,material
facesse,made
ln,LN
superato,overcome
passeggiata,stroll
impazzire,go crazy
amen,amen
lasciarlo,let him
opportunità,chance
causato,caused
lasciarti,leave you
follia,folly
attività,activities
dirvi,tell you
messi,messenger
trovarti,find you
divertiti,have fun
leader,leader
football,football
unità,unit
personali,personal
charlotte,Charlotte
supporto,support
tratti,strokes
medicine,medicine
derek,Derek
giornalista,Journalist
dorme,he is sleeping
scala,stairs
aiutarvi,help you
opportunita,chance
scienza,science
costume,costume
rompere,break
pò,little
scendi,get off
episode,episode
sembro,I look
uccide,kills
rischi,risks
conseguenze,aftermath
passione,passion
cercate,look for
olivia,Olivia
autista,driver
d,d
essermi,be
terry,Terry
coscienza,consciousness
discussione,discussion
beccato,caught
profilo,profile
prete,priest
sinceramente,sincerely
vorremmo,we would like to
elena,Elena
gusto,taste
compiti,assignments
ross,Ross
europa,Europe
esca,bait
tunnel,tunnel
attivita,activity
season,Season
cercano,seek
assicurazione,insurance
foresta,forest
robin,Robin
ucciderti,kill you
permette,allows
mappa,map
palco,stage
lieto,glad
confuso,confused
manchi,lack
filo,row
ripeto,I repeat
portarla,take her
howard,Howard
trattato,treatise
certi,certain
gioca,plays
figurati,forget about it
helen,Helen
fabbrica,factory
federale,federal
cieco,blind
responsabilità,responsibility
messico,Mexico
lancio,launch
titolo,title
motivi,reasons
assegno,check
tornerà,will come back
tizi,guy
belli,beautiful
van,van
grazia,grace
red,red
dicessi,I said
conosceva,He knew
sufficiente,sufficient
oscar,Oscar
farete,you will do
calci,kick
egli,they
istante,instant
pene,penis
amare,to love
lasciar,leave
sorta,kind
sincero,sincere
ammettere,to admit
retta,rectum
veda,see
pulire,to clean
uscendo,leaving
tempesta,storm
penny,penny
chiamiamo,we call
vice,vice
rebecca,Rebecca
trovano,they find
difficili,difficult
crediamo,we believe
jeremy,Jeremy
maschera,mask
visione,vision
cominciamo,let's start
nata,born
jo,Jo
reazione,reaction
cattivi,bad
dormendo,sleeping
eccomi,here I am
regali,gifts
sapesse,knew
oggetto,object
jay,Jay
vivono,they live
esco,I go out
jordan,Jordan
west,West
sport,sport
vederci,see us
sfortunatamente,unluckily
contatti,contacts
prendono,they take
sezione,section
my,My My
onestamente,honestly
segreta,secret
ascensore,lift
furono,they were
miglia,miles
rifugio,refuge
casey,casey
fiero,proud
spalla,shoulder
all,all
rischiare,to risk
profumo,perfume
coincidenza,coincidence
portarmi,bring me
alcol,alcohol
ricevere,receive
inventato,invented
impegno,I commit
brutte,ugly
zucchero,sugar
chiedermi,ask me
giudizio,judgment
spari,shooting
pochino,a little
personaggio,character
lacrime,tears
